Date,Open,High,Low,Close,Adj Close,Volume
2024-01-11,27.940001,30.000000,26.280001,26.629999,26.629999,37657300
2024-01-12,26.400000,26.410000,24.750000,24.969999,24.969999,22846800
2024-01-16,24.700001,24.862000,24.040001,24.719999,24.719999,15078200
2024-01-17,24.350000,24.559999,24.150000,24.410000,24.410000,13964500
2024-01-18,24.350000,24.469999,23.200001,23.340000,23.340000,17823200
2024-01-19,23.490000,24.120001,23.030001,23.799999,23.799999,18265500
2024-01-22,23.200001,23.330000,22.500000,22.950001,22.950001,17222100
2024-01-23,22.190001,22.629999,22.020000,22.320000,22.320000,13431700
2024-01-24,22.820000,22.969999,22.570000,22.600000,22.600000,11929100
2024-01-25,22.860001,22.900000,22.580000,22.760000,22.760000,8954900
2024-01-26,23.520000,24.120001,23.480000,23.990000,23.990000,20273800
2024-01-29,23.990000,24.770000,23.879999,24.670000,24.670000,19012900
2024-01-30,24.840000,24.980000,24.684999,24.879999,24.879999,15541300
2024-01-31,24.379999,25.000000,24.260000,24.299999,24.299999,13369300
2024-02-01,24.209999,24.719999,24.190001,24.540001,24.540001,12411400
2024-02-02,24.389999,24.825001,24.379999,24.500000,24.500000,10289300
2024-02-05,24.750000,24.790001,24.129999,24.190001,24.190001,6807500
2024-02-06,24.469999,24.770000,24.450001,24.600000,24.600000,7352900
2024-02-07,24.660000,25.285999,24.490000,25.219999,25.219999,13952200
2024-02-08,25.754999,26.080000,25.639999,26.030001,26.030001,18568500
2024-02-09,26.850000,27.570000,26.750000,27.150000,27.150000,20742800
2024-02-12,27.530001,28.860001,27.514999,28.660000,28.660000,35138600
2024-02-13,27.969999,28.280001,27.620001,28.219999,28.219999,20913600
2024-02-14,29.580000,29.825001,29.240000,29.549999,29.549999,28134500
2024-02-15,29.995001,30.230000,29.480000,29.520000,29.520000,22844700
2024-02-16,29.858000,29.969999,29.490000,29.620001,29.620001,15893600
2024-02-20,29.879999,29.920000,28.969999,29.670000,29.670000,21166400
2024-02-21,29.055000,29.350000,28.910000,29.080000,29.080000,17767600
2024-02-22,29.170000,29.760000,29.135000,29.719999,29.719999,15468400
2024-02-23,29.260000,29.309999,28.910000,29.160000,29.160000,13285800
2024-02-26,29.340000,31.430000,29.330000,31.120001,31.120001,42806400
2024-02-27,32.529999,32.959999,32.169998,32.590000,32.590000,42006400
2024-02-28,34.410000,36.869999,33.799999,34.450001,34.450001,96833400
2024-02-29,36.205002,36.380001,34.470001,35.419998,35.419998,53837500
2024-03-01,35.650002,36.169998,34.930000,35.990002,35.990002,34919100
2024-03-04,37.419998,38.889999,37.400002,38.650002,38.650002,63439000
2024-03-05,38.665001,39.689999,34.029999,35.320000,35.320000,107143600
2024-03-06,38.160000,38.595001,37.294998,38.290001,38.290001,45934300
2024-03-07,38.500000,38.939999,38.080002,38.630001,38.630001,41450800
2024-03-08,38.935001,40.200001,37.770000,39.549999,39.549999,89806900
2024-03-11,41.310001,41.650002,40.740002,41.119999,41.119999,74430400
2024-03-12,41.279999,41.799999,39.209999,40.730000,40.730000,98022800
2024-03-13,41.520000,41.990002,40.930000,41.950001,41.950001,59347000
2024-03-14,41.459999,41.529999,39.009998,39.509998,39.509998,99521100
2024-03-15,38.689999,40.324001,38.439999,39.389999,39.389999,68627600
2024-03-18,38.810001,39.130001,37.930000,38.139999,38.139999,53201600
2024-03-19,36.349998,37.529999,35.490002,36.700001,36.700001,69685200
2024-03-20,36.180000,37.689999,35.410000,37.549999,37.549999,71309300
2024-03-21,38.605000,38.610001,37.000000,37.150002,37.150002,47085900
2024-03-22,36.599998,36.689999,35.705002,36.410000,36.410000,39727000
2024-03-25,38.200001,40.619999,38.195000,40.549999,40.549999,64562000
2024-03-26,40.450001,40.509998,39.540001,39.630001,39.630001,44351400
2024-03-27,40.910000,40.970001,39.014999,39.130001,39.130001,46746900
2024-03-28,40.560001,40.959999,40.215000,40.470001,40.470001,44620800
2024-04-01,39.990002,40.029999,38.834999,39.750000,39.750000,34652000
2024-04-02,37.020000,37.840000,36.799999,37.599998,37.599998,34073400
2024-04-03,37.500000,38.200001,37.369999,37.540001,37.540001,29261100
2024-04-04,38.410000,39.610001,38.290001,39.080002,39.080002,44185500
2024-04-05,38.160000,39.154999,38.110001,38.410000,38.410000,28612000
